Gadag++50-59 98354
Gadag++60+ 93726
Hassan++0-4 139856
Hassan++5-17 398592
Hassan++18-29 462632
Hassan++30-39 303636
Hassan++40-49 230027
Hassan++50-59 156418
Hassan++60+ 149058
Haveri++0-4 133690
Haveri++5-17 381018
Haveri++18-29 442234
Haveri++30-39 290249
Haveri++40-49 219885
Haveri++50-59 149522
Haveri++60+ 142486
Kalaburagi++0-4 226208
Kalaburagi++5-17 644695
Kalaburagi++18-29 748275
Kalaburagi++30-39 491111
Kalaburagi++40-49 372054
Kalaburagi++50-59 252996
Kalaburagi++60+ 241091
Kodagu++0-4 42620
Kodagu++5-17 121468
Kodagu++18-29 140984
Kodagu++30-39 92531
Kodagu++40-49 70099
Kodagu++50-59 47667
Kodagu++60+ 45424
Kolar++0-4 128892
Kolar++5-17 367344
Kolar++18-29 426364
Kolar++30-39 279833
Kolar++40-49 211994
Kolar++50-59 144156
Kolar++60+ 137372
Koppal++0-4 121155
Koppal++5-17 345292
Koppal++18-29 400768
Koppal++30-39 263034
Koppal++40-49 199268
Koppal++50-59 135502
Koppal++60+ 129125
Mandya++0-4 140715
Mandya++5-17 401040
Mandya++18-29 465473
Mandya++30-39 305501
Mandya++40-49 231440
Mandya++50-59 157379
Mandya++60+ 149973
Mysuru++0-4 256497
Mysuru++5-17 731016
Mysuru++18-29 848465
Mysuru++30-39 556868
Mysuru++40-49 421870
Mysuru++50-59 286871
Mysuru++60+ 273371
Raichur++0-4 166248
Raichur++5-17 473809
Raichur++18-29 549933
Raichur++30-39 360935
Raichur++40-49 273435
Raichur++50-59 185936
Raichur++60+ 177186
Ramanagar++0-4 86683
Ramanagar++5-17 247048
Ramanagar++18-29 286740
Ramanagar++30-39 188194
Ramanagar++40-49 142571
Ramanagar++50-59 96948
Ramanagar++60+ 92386
Shivamogga++0-4 141692
Shivamogga++5-17 403822
Shivamogga++18-29 468702
Shivamogga++30-39 307621
Shivamogga++40-49 233046
Shivamogga++50-59 158471
Shivamogga++60+ 151013
Tumakuru++0-4 211591
Tumakuru++5-17 603035
Tumakuru++18-29 699922
Tumakuru++30-39 459376
Tumakuru++40-49 348012
Tumakuru++50-59 236648
Tumakuru++60+ 225512
Udupi++0-4 99350
Udupi++5-17 283148
Udupi++18-29 328640
Udupi++30-39 215695
Udupi++40-49 163405
Udupi++50-59 111115
Udupi++60+ 105886
Uttara-Kannada++0-4 115235
Uttara-Kannada++5-17 328419
Uttara-Kannada++18-29 381185
Uttara-Kannada++30-39 250181
Uttara-Kannada++40-49 189531
Uttara-Kannada++50-59 128881
Uttara-Kannada++60+ 122816
Vijayapura++0-4 195460
Vijayapura++5-17 557061
Vijayapura++18-29 646561
Vijayapura++30-39 424354
Vijayapura++40-49 321480
Vijayapura++50-59 218606
Vijayapura++60+ 208319
Yadgir++0-4 107345
Yadgir++5-17 305935
Yadgir++18-29 355088
Yadgir++30-39 233053
Yadgir++40-49 176555
Yadgir++50-59 120057
Yadgir++60+ 114408
BBMP-Bommanahalli++0-4 83915
BBMP-Bommanahalli++5-17 239160
BBMP-Bommanahalli++18-29 277585
BBMP-Bommanahalli++30-39 182185
BBMP-Bommanahalli++40-49 138019
BBMP-Bommanahalli++50-59 93853
BBMP-Bommanahalli++60+ 89436
BBMP-Dasarahalli++0-4 40763
BBMP-Dasarahalli++5-17 116176
BBMP-Dasarahalli++18-29 134841
BBMP-Dasarahalli++30-39 88499
BBMP-Dasarahalli++40-49 67045
BBMP-Dasarahalli++50-59 45590
BBMP-Dasarahalli++60+ 43445
BBMP-East++0-4 154350
BBMP-East++5-17 439900
BBMP-East++18-29 510576
BBMP-East++30-39 335103
BBMP-East++40-49 253866
BBMP-East++50-59 172629
BBMP-East++60+ 164505
BBMP-Mahadevpura++0-4 81587
BBMP-Mahadevpura++5-17 232525
BBMP-Mahadevpura++18-29 269884
BBMP-Mahadevpura++30-39 177131
BBMP-Mahadevpura++40-49 134190
BBMP-Mahadevpura++50-59 91249
BBMP-Mahadevpura++60+ 86955
BBMP-RR-Nagar++0-4 68046
BBMP-RR-Nagar++5-17 193931
BBMP-RR-Nagar++18-29 225089
BBMP-RR-Nagar++30-39 147731
BBMP-RR-Nagar++40-49 111917
BBMP-RR-Nagar++50-59 76104
BBMP-RR-Nagar++60+ 72522
BBMP-South++0-4 178258
BBMP-South++5-17 508035
BBMP-South++18-29 589659
BBMP-South++30-39 387007
BBMP-South++40-49 293187
BBMP-South++50-59 199367
BBMP-South++60+ 189985
BBMP-West++0-4 115883
BBMP-West++5-17 330268
BBMP-West++18-29 383331
BBMP-West++30-39 251589
BBMP-West++40-49 190598
BBMP-West++50-59 129606
BBMP-West++60+ 123507
BBMP-Yelahanka++0-4 50185
BBMP-Yelahanka++5-17 143030
BBMP-Yelahanka++18-29 166009
BBMP-Yelahanka++30-39 108956
BBMP-Yelahanka++40-49 82542
BBMP-Yelahanka++50-59 56129
BBMP-Yelahanka++60+ 53487
Bengaluru-Urban++0-4 81833
Bengaluru-Urban++5-17 233226
Bengaluru-Urban++18-29 270698
Bengaluru-Urban++30-39 177665
Bengaluru-Urban++40-49 134595
Bengaluru-Urban++50-59 91524
Bengaluru-Urban++60+ 87217
